系組代碼,校名,系組名,學群,學類,普通生錄取分數,學測_國文,學測_英文,分科_數甲,學測_數學A,學測_數學B,學測_自然,學測_社會,分科_地理,分科_歷史,分科_公民,分科_物理,分科_化學,分科_生物,同分參酌1_科目,同分參酌1_分數,同分參酌2_科目,同分參酌2_分數,同分參酌3_科目,同分參酌3_分數,,1,大學,科系
1,國立臺灣大學,中國文學系,文史哲學群,中國語文學類,302.5,1.5,1.25,,,1,,,1,1.25,,,,,,,,,,,,,,
2,國立臺灣大學,外國語文學系,外語學群,英語學類,281.75,1.25,2,,,,,,1,1,,,,,英,57,,,,,,,,
3,國立臺灣大學,歷史學系,文史哲學群,歷史學類,260,1,1,,,,,,1,1,1,,,,歷,55,國,56,6,,,,國立臺灣大學,歷史學系
4,國立臺灣大學,哲學系,文史哲學群,哲學學類,204,1,1,,,,,,,1,1,,,,國,55,,,,,,,國立臺灣大學,哲學系
5,國立臺灣大學,人類學系,社會與心理學群,人類／民族學學類,283,1,1.5,,,,,,1,1,1,,,,英,56,,,,,,,國立臺灣大學,人類學系
6,國立臺灣大學,圖書資訊學系,資訊學群,圖書資訊學類,237,1.25,1.25,,,,,,,1,1,,,,,,,,,,,,國立臺灣大學,圖書資訊學系
6,國立臺灣大學,圖書資訊學系,文史哲學群,圖書資訊學類,237,1.25,1.25,,,,,,,1,1,,,,,,,,,,,,國立臺灣大學,圖書資訊學系
7,國立臺灣大學,日本語文學系,外語學群,日語文學類,313,1.5,1.5,,,,,,1,1,1,,,,,,,,,,,,國立臺灣大學,日本語文學系
10,國立臺灣大學,戲劇學系(男),藝術學群,表演藝術學類,293,1.5,1.5,,,1,,,1,1,,,,,,,,,,,,,國立臺灣大學,戲劇學系
11,國立臺灣大學,戲劇學系(女),藝術學群,表演藝術學類,302,1.5,1.5,,,1,,,1,1,,,,,,,,,,,,,國立臺灣大學,戲劇學系
12,國立臺灣大學,數學系,數理化學群,數學學類,291.5,,1,1.5,1.5,,,,,,,1,1,,,,,,,,,,,
13,國立臺灣大學,物理學系,數理化學群,物理學類,251,,1,1.5,,,,,,,,1.5,1,,物,60,數甲,42,英,52,,,國立臺灣大學,物理學系
14,國立臺灣大學,化學系,數理化學群,化學學類,245,1,1,1,,,,,,,,1,1,,,,,,,,,,,
15,國立臺灣大學,地質科學系,地球與環境學群,地質地球與環境科學學類,218,1,1,1,,,,,,,,1,1,,數甲,30,,,,,,,國立臺灣大學,地質科學系
16,國立臺灣大學,心理學系,社會與心理學群,心理學類,240,1,1,1,,,,,,,,,1,1,數甲,42,英,52,2,,,,國立臺灣大學,心理學系
17,國立臺灣大學,地理環境資源學系A組,地球與環境學群,地理學類,128,,,1,,,,,,,,1,1,,,,,,,,,,國立臺灣大學,地理環境資源學系
20,國立臺灣大學,地理環境資源學系B組,地球與環境學群,地理學類,175.75,,,,,1,,,1.25,,1,,,,,,,,,,,,國立臺灣大學,地理環境資源學系
21,國立臺灣大學,大氣科學系,地球與環境學群,大氣科學學類,261.25,1,1,1.25,,,,,,,,1.25,1.25,,,,,,,,,,國立臺灣大學,大氣科學系
22,國立臺灣大學,政治學系政治理論組,法政學群,政治學類,296.25,1.25,1.25,,,,,,1,1,,,,,,,,,,,,,國立臺灣大學,政治學系
23,國立臺灣大學,政治學系國際關係組,法政學群,政治學類,306.75,1.25,1.25,,,,,,1,1,,,,,,,,,,,,,國立臺灣大學,政治學系
24,國立臺灣大學,政治學系公共行政組,法政學群,政治學類,296.75,1.25,1.25,,,,,,1,1,,,,,,,,,,,,,國立臺灣大學,政治學系
25,國立臺灣大學,經濟學系A組,財經學群,經濟學類,220,,1.5,2,,,,,,,,,,,,,,,,,,,,
26,國立臺灣大學,經濟學系B組,財經學群,經濟學類,233,,1.5,,2,,,,,,1,,,,,,,,,,,,,
27,國立臺灣大學,社會學系,社會與心理學群,社會學學類,257,1,1,,,1,,,,1,1,,,,英,56,,,,,,,國立臺灣大學,社會學系
30,國立臺灣大學,社會工作學系,社會與心理學群,社會工作學類,273.5,1.25,1.25,,,1,,,,1,1,,,,英,49,,,,,,,國立臺灣大學,社會工作學系
31,國立臺灣大學,醫學系(自費),醫藥衛生學群,醫學學類,283,,1,1,,,,,,,,1,1,1,,,,,,,,,國立臺灣大學,醫學系
32,國立臺灣大學,醫學系(公費),醫藥衛生學群,醫學學類,258,,1,1,,,,,,,,1,1,1,生,57,,,,,,,國立臺灣大學,醫學系
33,國立臺灣大學,牙醫學系,醫藥衛生學群,牙醫學類,275,,1,1,,,,,,,,1,1,1,生,60,,,,,,,國立臺灣大學,牙醫學系
34,國立臺灣大學,藥學系,醫藥衛生學群,藥學學類,360,,1,1,,,,,,,,1,2,2,數甲,39,物,57,7,,,,國立臺灣大學,藥學系
35,國立臺灣大學,醫學檢驗暨生物技術學系,醫藥衛生學群,醫學檢驗暨生物技術學類,243,1,1,1,,,,,,,,,1,1,化,45,,,,,,,國立臺灣大學,醫學檢驗暨生物技術學系
36,國立臺灣大學,護理學系,醫藥衛生學群,護理學類,231,1,1,1,,,,,,,,,1,1,英,56,,,,,,,國立臺灣大學,護理學系
37,國立臺灣大學,物理治療學系,醫藥衛生學群,物理治療學類,243,,1,1,,,,,,,,1,1,1,生,56,,,,,,,國立臺灣大學,物理治療學系
40,國立臺灣大學,職能治療學系,醫藥衛生學群,職能治療學類,241.5,1.25,1.5,1,,,,,,,,,,1,英,51,,,,,,,國立臺灣大學,職能治療學系
41,國立臺灣大學,土木工程學系,工程學群,土木工程學類,231,1,1,1,,,,,,,,1,1,,數甲,41,,,,,,,國立臺灣大學,土木工程學系
42,國立臺灣大學,機械工程學系,工程學群,機械工程學類,247,1,1,1,,,,,,,,1,1,,物,51,數甲,51,1,,,,,
43,國立臺灣大學,化學工程學系,工程學群,化學工程學類,233,,1,1.25,,,,,,,,1.25,1.25,,數甲,48,,,,,,,國立臺灣大學,化學工程學系
44,國立臺灣大學,工程科學及海洋工程學系,工程學群,工程科學學類,292,,1,2,,,,,,,,2,1,,數甲,48,,,,,,,國立臺灣大學,工程科學及海洋工程學系
44,國立臺灣大學,工程科學及海洋工程學系,地球與環境學群,工程科學學類,292,,1,2,,,,,,,,2,1,,數甲,48,,,,,,,國立臺灣大學,工程科學及海洋工程學系
45,國立臺灣大學,材料科學與工程學系,工程學群,材料工程學類,259,1,1,1,,,,,,,,1,1,,,,,,,,,,國立臺灣大學,材料科學與工程學系
46,國立臺灣大學,醫學工程學系,工程學群,生醫／醫學工程學類,245,1,1,1,,,,,,,,1,1,,數甲,41,,,,,,,國立臺灣大學,醫學工程學系
46,國立臺灣大學,醫學工程學系,醫藥衛生學群,醫學學類,245,1,1,1,,,,,,,,1,1,,數甲,41,,,,,,,國立臺灣大學,醫學工程學系
47,國立臺灣大學,農藝學系,生物資源學群,農藝學類,244.75,1,1,1,,,,,,,,,1.25,1.25,,,,,,,,,國立臺灣大學,農藝學系
50,國立臺灣大學,生物環境系統工程學系,工程學群,水利／海洋工程學類,225,1,1,1,,,,,,,,1,1,,數甲,38,,,,,,,國立臺灣大學,生物環境系統工程學系
50,國立臺灣大學,生物環境系統工程學系,工程學群,環境工程學類,225,1,1,1,,,,,,,,1,1,,數甲,38,,,,,,,國立臺灣大學,生物環境系統工程學系
50,國立臺灣大學,生物環境系統工程學系,地球與環境學群,環境工程學類,225,1,1,1,,,,,,,,1,1,,數甲,38,,,,,,,國立臺灣大學,生物環境系統工程學系
50,國立臺灣大學,生物環境系統工程學系,地球與環境學群,綠環境與防災學類,225,1,1,1,,,,,,,,1,1,,數甲,38,,,,,,,國立臺灣大學,生物環境系統工程學系
51,國立臺灣大學,農業化學系,數理化學群,生化學類,279.5,,1,1,,,,,,,,1,1.5,1.5,,,,,,,,,國立臺灣大學,農業化學系
51,國立臺灣大學,農業化學系,生命科學學群,生化學類,279.5,,1,1,,,,,,,,1,1.5,1.5,,,,,,,,,國立臺灣大學,農業化學系
52,國立臺灣大學,森林環境暨資源學系,生物資源學群,森林學類,249.5,,,1,,,,,,,,1.5,1.5,2,生,50,,,,,,,國立臺灣大學,森林環境暨資源學系
53,國立臺灣大學,動物科學技術學系,生物資源學群,動物科學學類,218,,1,1,,,,,,,,1,1,1,生,52,,,,,,,國立臺灣大學,動物科學技術學系
54,國立臺灣大學,農業經濟學系,財經學群,經濟學類,266,,1,2,1,,,,,,,,,,,,,,,,,,,
55,國立臺灣大學,園藝暨景觀學系,生物資源學群,園藝學類,255,1,1,,1,,,,,,,,1,1.5,,,,,,,,,國立臺灣大學,園藝暨景觀學系
56,國立臺灣大學,獸醫學系,醫藥衛生學群,獸醫學類,252,1,1,1,,,,,,,,,1,1,英,53,化,46,6,,,,國立臺灣大學,獸醫學系
56,國立臺灣大學,獸醫學系,生物資源學群,獸醫學類,252,1,1,1,,,,,,,,,1,1,英,53,化,46,6,,,,國立臺灣大學,獸醫學系
57,國立臺灣大學,生物產業傳播暨發展學系,大眾傳播學群,大眾傳播學類,313.5,1.5,1.5,,1.5,,,,1,1,,,,,,,,,,,,,國立臺灣大學,生物產業傳播暨發展學系
60,國立臺灣大學,生物機電工程學系,工程學群,機械工程學類,239,1,1,1,,,,,,,,1,1,,數甲,38,,,,,,,,
61,國立臺灣大學,昆蟲學系,生命科學學群,植物保護與昆蟲學類,203,,1,1,,,,,,,,1,1,1,,,,,,,,,國立臺灣大學,昆蟲學系
61,國立臺灣大學,昆蟲學系,生物資源學群,植物保護與昆蟲學類,203,,1,1,,,,,,,,1,1,1,,,,,,,,,國立臺灣大學,昆蟲學系
62,國立臺灣大學,植物病理與微生物學系,生物資源學群,植物保護與昆蟲學類,229,1,1,1,,,,,,,,,1,1,生,57,,,,,,,國立臺灣大學,植物病理與微生物學系
63,國立臺灣大學,工商管理學系企業管理組A組,管理學群,企業管理學類,244,,1,1,1,,,,1,1,,,,,數甲,40,,,,,,,,
64,國立臺灣大學,工商管理學系企業管理組B組,管理學群,企業管理學類,264,,1,,1,,,,1,1,1,,,,,,,,,,,,,
65,國立臺灣大學,工商管理學系科技管理組,管理學群,企業管理學類,237,,1,1,1,,,,,,,1,1,,數甲,39,,,,,,,,
66,國立臺灣大學,會計學系A組,財經學群,會計學類,205,1,1.5,1.5,,,,,,,,,,,,,,,,,,,國立臺灣大學,會計學系
67,國立臺灣大學,會計學系B組,財經學群,會計學類,308.25,1.25,1.5,,1.25,,,,1,,1,,,,英,60,,,,,,,國立臺灣大學,會計學系
70,國立臺灣大學,財務金融學系A組,財金學群,財務金融學類,236,1,1.5,2,,,,,,,,,,,,,,,,,,,,
71,國立臺灣大學,財務金融學系B組,財金學群,財務金融學類,255.5,,1.5,,,,,,1,1,1,,,,,,,,,,,,,
72,國立臺灣大學,國際企業學系A組,財經學群,國際企業學類,212,,2,1,,,,,,,1,,,,,,,,,,,,國立臺灣大學,國際企業學系
73,國立臺灣大學,國際企業學系B組,財經學群,國際企業學類,320,,2,,1,,,,1,1,1,,,,英,56,,,,,,,國立臺灣大學,國際企業學系
74,國立臺灣大學,資訊管理學系,管理學群,資訊管理學類,229,,1,1.5,,,,,,,,1,1,,,,,,,,,,,
75,國立臺灣大學,公共衛生學系A組,醫藥衛生學群,公共衛生學類,255.75,,1.25,1.25,,,,,,,,1,1,1,,,,,,,,,國立臺灣大學,公共衛生學系
76,國立臺灣大學,公共衛生學系B組,醫藥衛生學群,公共衛生學類,245,1,1.25,,,1.25,,,,,1.25,,,,,,,,,,,,國立臺灣大學,公共衛生學系
77,國立臺灣大學,電機工程學系,工程學群,電機工程學類,225,,1,1,,,,,,,,1,1,,數甲,58,,,,,,,,
100,國立臺灣大學,資訊工程學系,資訊學群,資訊工程學類,235.5,,1,1.25,,,,,,,,1,1,,,,,,,,,,,
101,國立臺灣大學,法律學系法學組,法政學群,法律學類,285.5,1,1,,,1,,,,1,1.25,,,,英,56,,,,,,,國立臺灣大學,法律學系
102,國立臺灣大學,法律學系司法組,法政學群,法律學類,289.75,1,1,,,1,,,,1,1.25,,,,英,53,,,,,,,國立臺灣大學,法律學系
103,國立臺灣大學,法律學系財經法學組,法政學群,法律學類,295,1,1,,,1,,,,1,1.25,,,,,,,,,,,,國立臺灣大學,法律學系
104,國立臺灣大學,生命科學系,生命科學學群,生命科學學類,239,,1,,1,,,,,,,1,1,1,,,,,,,,,,
105,國立臺灣大學,生化科技學系,數理化學群,生化學類,236,,1,1,,,,,,,,1,1,1,化,48,,,,,,,國立臺灣大學,生化科技學系
105,國立臺灣大學,生化科技學系,生命科學學群,生化學類,236,,1,1,,,,,,,,1,1,1,化,48,,,,,,,國立臺灣大學,生化科技學系
106,國立臺灣大學,國際體育運動事務學士學位學程,管理學群,運動管理學類,269.25,1.25,2,,,1,,,,,1,,,,,,,,,,,,國立臺灣大學,國際體育運動事務學士學位學程
106,國立臺灣大學,國際體育運動事務學士學位學程,遊憩與運動學群,運動管理學類,269.25,1.25,2,,,1,,,,,1,,,,,,,,,,,,國立臺灣大學,國際體育運動事務學士學位學程
107,國立臺灣師範大學,教育學系,教育學群,教育學類,274.5,1.5,1.5,,,1,,,1,1,,,,,,,,,,,,,,
110,國立臺灣師範大學,教育心理與輔導學系,社會與心理學群,輔導與諮商學類,279.25,1,1.25,,,1.25,,,,1,1,,,,,,,,,,,,國立臺灣師範大學,教育心理與輔導學系
110,國立臺灣師範大學,教育心理與輔導學系,教育學群,輔導與諮商學類,279.25,1,1.25,,,1.25,,,,1,1,,,,,,,,,,,,國立臺灣師範大學,教育心理與輔導學系
111,國立臺灣師範大學,社會教育學系,教育學群,成人教育學類,310,1.5,1.5,,,,,,1,1,1.5,,,,,,,,,,,,國立臺灣師範大學,社會教育學系
112,國立臺灣師範大學,健康促進與衛生教育學系,醫藥衛生學群,公共衛生學類,204.5,1,1.5,1,,,,,,,,,,1.5,英,52,,,,,,,國立臺灣師範大學,健康促進與衛生教育學系
113,國立臺灣師範大學,幼兒與家庭科學學系家庭生活與教育組,社會與心理學群,兒童與家庭學類,288.5,1.75,2,,,2,,,,,1,,,,,,,,,,,,國立臺灣師範大學,幼兒與家庭科學學系(原人類發展與家庭學系)
114,國立臺灣師範大學,幼兒與家庭科學學系幼兒發展與教育組,社會與心理學群,兒童與家庭學類,291.75,2,2,,,1.75,,,,,1,,,,,,,,,,,,國立臺灣師範大學,幼兒與家庭科學學系(原人類發展與家庭學系)
115,國立臺灣師範大學,公民教育與活動領導學系,教育學群,社會科教育學類,246.25,1.25,1.25,,,1,,,,,2,,,,公,53,,,,,,,國立臺灣師範大學,公民教育與活動領導學系
116,國立臺灣師範大學,特殊教育學系,教育學群,特殊教育學類,164.75,1.25,1.25,,,,,,,,1,,,,,,,,,,,,國立臺灣師範大學,特殊教育學系
117,國立臺灣師範大學,學習科學學士學位學程,教育學群,數位學習學類,212,1.5,1.5,2,,,,,,,,,,,,,,,,,,,國立臺灣師範大學,學習科學學士學位學程
120,國立臺灣師範大學,教育學院學士班,教育學群,教育學類,148,1,1,,,,,,,,1,,,,,,,,,,,,,
121,國立臺灣師範大學,國文學系,文史哲學群,中國語文學類,264.5,2,1.5,,,,,,1,1,,,,,國,50,,,,,,,,
122,國立臺灣師範大學,英語學系,外語學群,英語文學類,305,1.5,2,,,1,,,1,1,,,,,,,,,,,,,,
123,國立臺灣師範大學,歷史學系,文史哲學群,歷史學類,276.25,1.25,1.25,,,1,,,1,1.5,,,,,,,,,,,,,國立臺灣師範大學,歷史學系
124,國立臺灣師範大學,地理學系,地球與環境學群,地理學類,266.75,1,1.25,,,1,,,1.5,1,,,,,,,,,,,,,國立臺灣師範大學,地理學系
125,國立臺灣師範大學,臺灣語文學系,文史哲學群,臺灣語文學類,310,1,1.5,,,,,,1,1.5,1.5,,,,,,,,,,,,國立臺灣師範大學,臺灣語文學系
126,國立臺灣師範大學,數學系,數理化學群,數學學類,152,,1,2,,,,,,,,1,,,數甲,37,,,,,,,,
127,國立臺灣師範大學,物理學系,數理化學群,物理學類,154.5,,1,1.25,,,,,,,,1.5,,,,,,,,,,,國立臺灣師範大學,物理學系
130,國立臺灣師範大學,化學系,數理化學群,化學學類,266,1,1,1.25,,,,,,,,1.5,1.75,,,,,,,,,,,
131,國立臺灣師範大學,生命科學系,生命科學學群,生命科學學類,248.25,1,1.25,1,,,,,,,,,1.25,1.5,,,,,,,,,,
132,國立臺灣師範大學,地球科學系,地球與環境學群,地質地球與環境科學學類,238,,1,2,,,,,,,,2,1.5,,數甲,37,,,,,,,國立臺灣師範大學,地球科學系
132,國立臺灣師範大學,地球科學系,地球與環境學群,大氣科學學類,238,,1,2,,,,,,,,2,1.5,,數甲,37,,,,,,,國立臺灣師範大學,地球科學系
133,國立臺灣師範大學,資訊工程學系,資訊學群,資訊工程學類,237.5,1,1,1.5,,,,,,,,1,1,,數甲,43,,,,,,,,
134,國立臺灣師範大學,營養科學學士學位學程,醫藥衛生學群,食品營養保健學類,262,1,1.5,1,,,,,,,,,1.5,1.5,,,,,,,,,國立臺灣師範大學,營養科學學士學位學程
135,國立臺灣師範大學,工業教育學系,工程學群,科技教育學類,157.5,1,1,1.5,,,,,,,,,,,,,,,,,,,國立臺灣師範大學,工業教育學系
135,國立臺灣師範大學,工業教育學系,教育學群,科技教育學類,157.5,1,1,1.5,,,,,,,,,,,,,,,,,,,國立臺灣師範大學,工業教育學系
136,國立臺灣師範大學,科技應用與人力資源發展學系,工程學群,科技教育學類,235.5,1,1.25,,,1.25,,,,,,1,1,,,,,,,,,,國立臺灣師範大學,科技應用與人力資源發展學系
136,國立臺灣師範大學,科技應用與人力資源發展學系,教育學群,科技教育學類,235.5,1,1.25,,,1.25,,,,,,1,1,,,,,,,,,,國立臺灣師範大學,科技應用與人力資源發展學系
137,國立臺灣師範大學,圖文傳播學系,大眾傳播學群,大眾傳播學類,212.75,1.25,1.25,1,,,,,,,,1,1,,,,,,,,,,國立臺灣師範大學,圖文傳播學系
140,國立臺灣師範大學,機電工程學系,工程學群,機械工程學類,306.5,1,1.5,2,,,,,,,,2,1,,,,,,,,,,,
141,國立臺灣師範大學,電機工程學系,工程學群,電機工程學類,221,1,1,1,,,,,,,,1,1,,數甲,36,,,,,,,,
142,國立臺灣師範大學,車輛與能源工程學士學位學程,工程學群,工程科學學類,202.5,1,1,1.5,,,,,,,,1.5,,,,,,,,,,,國立臺灣師範大學,車輛與能源工程學士學位學程
143,國立臺灣師範大學,光電工程學士學位學程,工程學群,光電學類,306,1,1,2,,,,,,,,2,1.5,,,,,,,,,,國立臺灣師範大學,光電工程學士學位學程
144,國立臺灣師範大學,華語文教學系應用華語文學組,文史哲學群,華語文教育學類,239,2,2,,,,,,,1,,,,,英,46,,,,,,,國立臺灣師範大學,華語文教學系(原應用華語文學系)
144,國立臺灣師範大學,華語文教學系應用華語文學組,教育學群,華語文教育學類,239,2,2,,,,,,,1,,,,,英,46,,,,,,,國立臺灣師範大學,華語文教學系(原應用華語文學系)
145,國立臺灣師範大學,東亞學系,法政學群,政治學類,294,1.5,2,,,1,,,,1,1,,,,英,42,,,,,,,國立臺灣師範大學,東亞學系
146,國立臺灣師範大學,企業管理學系,管理學群,企業管理學類,295,1.5,2,,,2,,,,,1,,,,,,,,,,,,,
147,國立臺灣師範大學,設計學系產品設計組,建築與設計學群,商業設計學類,340,2,2,1,,,,,,,,1,,,英,52,,,,,,,國立臺灣師範大學,設計學系
150,國立臺灣師範大學,音樂學系,藝術學群,音樂學類,280.68,1,1,,,,,,,1,,,,,,,,,,,,,,
151,國立臺灣師範大學,表演藝術學士學位學程,藝術學群,表演藝術學類,218.5,1.75,1.25,,,,,,,1.5,,,,,,,,,,,,,國立臺灣師範大學,表演藝術學士學位學程
152,國立臺灣師範大學,設計學系視覺設計組,建築與設計學群,商業設計學類,353.4,1.75,1.75,,,,,,,1,,,,,,,,,,,,,國立臺灣師範大學,設計學系
153,國立臺灣師範大學,美術學系繪畫組,藝術學群,美術學類,236.07,1,1,,,,,,,1,,,,,,,,,,,,,國立臺灣師範大學,美術學系
154,國立臺灣師範大學,美術學系水墨畫組,藝術學群,美術學類,235.95,1,1,,,,,,,1,,,,,,,,,,,,,國立臺灣師範大學,美術學系
155,國立臺灣師範大學,體育與運動科學系,遊憩與運動學群,體育學類,220.5,1,2,,,1,,,,,,,,1.5,英,41,,,,,,,,
156,國立中興大學,中國文學系,文史哲學群,中國語文學類,214.25,2,1.5,,,,,,,1.25,,,,,,,,,,,,,國立中興大學,中國文學系
157,國立中興大學,外國語文學系,外語學群,英語文學類,190,1,2,,,,,,,1,,,,,,,,,,,,,國立中興大學,外國語文學系
160,國立中興大學,歷史學系,文史哲學群,歷史學類,210.5,1,1,,,,,,1,1.5,,,,,歷,55,,,,,,,國立中興大學,歷史學系
161,國立中興大學,台灣人文創新學士學位學程,文史哲學群,文化與產業學類,293.5,2,1,,,,,,1.5,1.5,,,,,,,,,,,,,國立中興大學,台灣人文創新學士學位學程
162,國立中興大學,財務金融學系,財經學群,財務金融學類,208,1,2,2,,,,,,,,,,,英,49,,,,,,,國立中興大學,財務金融學系
163,國立中興大學,企業管理學系,管理學群,企業管理學類,262,1,2,,,2,,,,,1,,,,英,44,數B,39,9,,,,,
164,國立中興大學,法律學系,法政學群,法律學類,291,1.5,1,,,1,,,,1,1.5,,,,國,53,,,,,,,國立中興大學,法律學系
165,國立中興大學,行銷學系,管理學群,行銷經營學類,241,2,1,,,,,,1,1,,,,,國,49,英,41,1,,,,國立中興大學,行銷學系
166,國立中興大學,資訊管理學系,資訊學群,資訊管理學類,214,1,2,2,,,,,,,,,,,數甲,37,,,,,,,國立中興大學,資訊管理學系
166,國立中興大學,資訊管理學系,管理學群,資訊管理學類,214,1,2,2,,,,,,,,,,,數甲,37,,,,,,,國立中興大學,資訊管理學系
167,國立中興大學,會計學系,財經學群,會計學類,272,1,2,,,2,,,,,1,,,,,,,,,,,,國立中興大學,會計學系
170,國立中興大學,應用經濟學系,財經學群,經濟學類,185.5,1,2,1.5,,,,,,,,,,,英,43,,,,,,,國立中興大學,應用經濟學系
171,國立中興大學,化學系,數理化學群,化學學類,302,1,1.5,2,,,,,,,,1,2,,化,40,,,,,,,國立中興大學,化學系
172,國立中興大學,物理學系一般物理組,數理化學群,物理學類,262,1,1.5,1.5,,,,,,,,1.5,1,,,,,,,,,,國立中興大學,物理學系
173,國立中興大學,物理學系光電物理組,數理化學群,物理學類,272.5,1,1.5,1.5,,,,,,,,1.5,1,,,,,,,,,,國立中興大學,物理學系
174,國立中興大學,應用數學系應用數學組,數理化學群,數學學類,268,1,1.5,2,,,,,,,,1.5,1,,數甲,36,,,,,,,國立中興大學,應用數學系
175,國立中興大學,應用數學系數據科學與計算組,數理化學群,數學學類,269,1,1.5,2,,,,,,,,1.5,1,,,,,,,,,,國立中興大學,應用數學系
176,國立中興大學,機械工程學系,工程學群,機械工程學類,302.5,1,1.5,2,,,,,,,,2,1,,數甲,35,,,,,,,,
177,國立中興大學,土木工程學系,工程學群,土木工程學類,272.5,1,1.5,,2,,,,,,,2,,,數A,39,,,,,,,國立中興大學,土木工程學系
200,國立中興大學,環境工程學系,工程學群,環境工程學類,251.5,1,1,1.5,,,,,,,,1.5,1.5,,,,,,,,,,國立中興大學,環境工程學系
200,國立中興大學,環境工程學系,地球與環境學群,環境工程學類,251.5,1,1,1.5,,,,,,,,1.5,1.5,,,,,,,,,,國立中興大學,環境工程學系
201,國立中興大學,化學工程學系,工程學群,化學工程學類,212,1,1,1,,,,,,,,1,1,,物,45,,,,,,,國立中興大學,化學工程學系
202,國立中興大學,材料科學與工程學系,工程學群,材料工程學類,216,1,1,1,,,,,,,,1,1,,,,,,,,,,國立中興大學,材料科學與工程學系
203,國立中興大學,智慧創意工程學士學位學程,工程學群,材料工程學類,226,1,1,1.5,,,,,,,,1,1,,,,,,,,,,國立中興大學,智慧創意工程學士學位學程
204,國立中興大學,資訊工程學系,資訊學群,資訊工程學類,251.5,1,1.5,1,,,,,,,,1,1,,數甲,41,,,,,,,,
205,國立中興大學,電機工程學系甲組,工程學群,電機工程學類,239,1,1,1,,,,,,,,1,1,,數甲,48,,,,,,,,
206,國立中興大學,電機工程學系乙組,工程學群,電機工程學類,242.5,1,1.25,1,,,,,,,,1,1,,,,,,,,,,,
207,國立中興大學,電機資訊學院學士班,資訊學群 ,資訊工程學類,226,1,1,1,,,,,,,,1,1,,數甲,40,物,44,4,,,,,
210,國立中興大學,水土保持學系,地球與環境學群,綠環境與防災學類,239.5,1,1.5,2,,,,,,,,2,,,,,,,,,,,國立中興大學,水土保持學系
211,國立中興大學,生物產業機電工程學系,工程學群,機械工程學類,197,1,1,1,,,,,,,,1,1,,,,,,,,,,,
212,國立中興大學,農藝學系,生物資源學群,農藝學類,242.5,1,1.5,,,1,,,,,,,1.5,1.5,,,,,,,,,國立中興大學,農藝學系
213,國立中興大學,園藝學系,生物資源學群,園藝學類,263.5,1,1.5,,,1,,,,,,,1.5,2,,,,,,,,,國立中興大學,園藝學系
214,國立中興大學,森林學系林學組,生物資源學群,森林學類,206,,1.5,,,1,,,,,,1,1,1.5,英,47,,,,,,,國立中興大學,森林學系
215,國立中興大學,森林學系木材科學組,生物資源學群,森林學類,211.5,,1.5,,,1,,,,,,1.25,1.5,1,,,,,,,,,國立中興大學,森林學系
216,國立中興大學,植物病理學系,生物資源學群,植物保護與昆蟲學類,254.5,1,1.5,,1,,,,,,,,1.5,1.5,,,,,,,,,國立中興大學,植物病理學系
217,國立中興大學,昆蟲學系,生命科學學群,植物保護與昆蟲學類,235.5,1,1.5,,1,,,,,,,,1.5,1.5,,,,,,,,,國立中興大學,昆蟲學系
217,國立中興大學,昆蟲學系,生物資源學群,植物保護與昆蟲學類,235.5,1,1.5,,1,,,,,,,,1.5,1.5,,,,,,,,,國立中興大學,昆蟲學系
220,國立中興大學,動物科學系,生物資源學群,動物科學學類,280.5,1,1.5,,1,,,,,,,,1.5,1.5,,,,,,,,,國立中興大學,動物科學系
221,國立中興大學,土壤環境科學系,數理化學群,生化學類,246,,2,,,,,,,,,1,2,2,,,,,,,,,國立中興大學,土壤環境科學系
221,國立中興大學,土壤環境科學系,生命科學學群,生化學類,246,,2,,,,,,,,,1,2,2,,,,,,,,,國立中興大學,土壤環境科學系
222,國立中興大學,食品暨應用生物科技學系,生命科學學群,食品生技學類,259.5,1,1.5,,1,,,,,,,,1.5,1.5,英,47,,,,,,,國立中興大學,食品暨應用生物科技學系
222,國立中興大學,食品暨應用生物科技學系,生物資源學群,食品生技學類,259.5,1,1.5,,1,,,,,,,,1.5,1.5,英,47,,,,,,,國立中興大學,食品暨應用生物科技學系
223,國立中興大學,生物科技學士學位學程,生命科學學群,生物科技學類,239,1,1.5,,,,,,,,,,1.5,1.5,,,,,,,,,國立中興大學,生物科技學士學位學程
224,國立中興大學,景觀與遊憩學士學位學程,建築與設計學群,景觀與空間設計學類,221.5,1,1.5,1.5,1,,,,,,,1,,,,,,,,,,,國立中興大學,景觀與遊憩學士學位學程
225,國立中興大學,國際農企業學士學位學程,管理學群,企業管理學類,216.25,1,1.75,1.5,,,,,,,,,,1,,,,,,,,,,
226,國立中興大學,生命科學系,生命科學學群,生命科學學類,187.25,,1,,,,,,,,,,1.75,1.75,生,51,,,,,,,國立中興大學,生命科學系
227,國立中興大學,獸醫學系,醫藥衛生學群,獸醫學類,266,,1.5,1,,,,,,,,,1.5,1.5,,,,,,,,,國立中興大學,獸醫學系
227,國立中興大學,獸醫學系,生物資源學群,獸醫學類,266,,1.5,1,,,,,,,,,1.5,1.5,,,,,,,,,國立中興大學,獸醫學系
230,國立成功大學,中國文學系,文史哲學群,中國語文學類,166,1.5,1,,,,,,,1,,,,,國,52,英,37,7,,,,國立成功大學,中國文學系
